"ESO category","Commons Category"
"Solar System : Sky Phenomenon : Light Phenomenon : Halo : Arc","Halo phenomena"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray","Anticrepuscular rays"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow","Earth's shadow"
"Solar System : Sky Phenomenon : Light Phenomenon : Lightning","Lightning"
"Solar System : Sky Phenomenon : Light Phenomenon : Aurora","Polar aurora"
"Solar System : Technology","Scientific equipment"
"Solar System : Technology : Observatory","Observatories"
"Solar System : Technology : Observatory : Facility","Astronomical observatories"
"Solar System : Technology : Observatory : Telescope","Telescopes"
"Solar System : Technology : Observatory : Instrument","Astronomical instruments"
"Solar System : Technology : Observatory : Detector","Astronomical instruments"
"Solar System : Technology : Spacecraft","Spacecraft"
"Solar System : Technology : Spacecraft : Orbiter","Orbiters (spacecraft)"
"Solar System : Technology : Spacecraft : Probe","Space probes"
"Solar System : Technology : Spacecraft : Lander","Landers (spacecraft)"
"Solar System : Technology : Spacecraft : Manned","Manned spacecraft"
"Solar System : Technology : Spacecraft : Launch Vehicle","Space launch vehicles"
"Solar System : People","People"
"Solar System : People : Scientist","Scientists"
"Solar System : People : Astronaut","Astronauts"
"Solar System : People : Other/General","People"
"Milky Way","Milky Way Galaxy"
"Milky Way : Planet","Planets"
"Milky Way : Planet : Type : Terrestrial","Terrestrial Planet"
"Milky Way : Planet : Type : Gas Giant","Gas giants"
"Milky Way : Planet : Feature : Surface","Surface features of astronomical bodies"
"Milky Way : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Milky Way : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Milky Way : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Milky Way : Planet : Feature : Surface : Impact","Impact craters"
"Milky Way : Planet : Feature : Surface : Erosion","Erosion"
"Milky Way : Planet : Feature : Surface : Liquid","Liquid"
"Milky Way : Planet : Feature : Surface : Ice","Ice"
"Milky Way : Planet : Feature : Atmosphere","Planetary atmospheres"
"Milky Way : Planet : Feature : Atmosphere : Cloud","Clouds"
"Milky Way : Planet : Feature : Atmosphere : Storm","Storms"
"Milky Way : Planet : Feature : Atmosphere : Aurora","Polar aurora"
"Milky Way : Planet : Special Cases : Transiting","Astronomical transits"
"Milky Way : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Milky Way : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Milky Way : Planet : Satellite","Natural satellites"
"Milky Way : Planet : Satellite : Feature : Surface","Surface features of moons"
"Milky Way : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Milky Way : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Milky Way : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Milky Way : Planet : Satellite : Feature : Surface : Impact","Impact craters on moons"
"Milky Way : Planet : Satellite : Feature : Surface : Erosion","Erosion"
"Milky Way : Planet : Satellite : Feature : Surface : Liquid","Liquid"
"Milky Way : Planet : Satellite : Feature : Surface : Ice","Ice"
"Milky Way : Planet : Satellite : Feature : Atmosphere","Planetary atmospheres"
"Milky Way : Planet : Ring","Planetary rings"
"Milky Way : Interplanetary Body","Astronomical objects"
"Milky Way : Interplanetary Body : Dwarf planet","Planets"
"Milky Way : Interplanetary Body : Comet","Comets"
"Milky Way : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Milky Way : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Milky Way : Interplanetary Body : Comet : Tail","Comet tail"
"Milky Way : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Milky Way : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Milky Way : Interplanetary Body : Asteroid","Asteroids"
"Milky Way : Interplanetary Body : Meteoroid","Meteoroids"
"Milky Way : Star","Stars"
"Milky Way : Star : Evolutionary Stage : Protostar","Protostars"
"Milky Way : Star : Evolutionary Stage : Young Stellar Object","Young stellar objects"
"Milky Way : Star : Evolutionary Stage : Main Sequence","Main sequence stars"
"Milky Way : Star : Evolutionary Stage : Red Giant","Red giants"
"Milky Way : Star : Evolutionary Stage : Red Supergiant","Red supergiants"
"Milky Way : Star : Evolutionary Stage : Blue Supergiant","Blue supergiants"
"Milky Way : Star : Evolutionary Stage : White Dwarf","White dwarfs"
"Milky Way : Star : Evolutionary Stage : Supernova","Supernovae"
"Milky Way : Star : Evolutionary Stage : Neutron Star","Neutron stars"
"Milky Way : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Milky Way : Star : Evolutionary Stage : Neutron Star : Magnetar","Magnetars"
"Milky Way : Star : Evolutionary Stage : Black Hole","Black holes"
"Milky Way : Star : Type : Variable","Variable stars"
"Milky Way : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Milky Way : Star : Type : Variable : Irregular","Variable stars"
"Milky Way : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Milky Way : Star : Type : Variable : Flare Star","Flare stars"
"Milky Way : Star : Type : Variable : Nova","Novae"
"Milky Way : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
"Milky Way : Star : Type : Carbon","C stars"
"Milky Way : Star : Type : Brown Dwarf","Brown dwarfs"
"Milky Way : Star : Type : Wolf-Rayet","Wolf-Rayet stars"
"Milky Way : Star : Type : Blue Straggler","Blue stragglers"
"Milky Way : Star : Type : Exotic","Exotic stars"
"Milky Way : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Milky Way : Star : Spectral Type : O","O stars"
"Milky Way : Star : Spectral Type : B","B stars"
"Milky Way : Star : Spectral Type : A","A stars"
"Milky Way : Star : Spectral Type : F","F stars"
"Milky Way : Star : Spectral Type : G","G stars"
"Milky Way : Star : Spectral Type : K","K stars"
"Milky Way : Star : Spectral Type : M","M stars"
"Milky Way : Star : Spectral Type : L","L stars"
"Milky Way : Star : Spectral Type : T","T stars"
"Milky Way : Star : Population : I","Stellar populations"
"Milky Way : Star : Population : II","Stellar populations"
"Milky Way : Star : Population : III","Stellar populations"
"Milky Way : Star : Feature : Photosphere","Photosphere"
"Milky Way : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Milky Way : Star : Feature : Photosphere : Sunspot","Sunspots"
"Milky Way : Star : Feature : Chromosphere","Chromosphere"
"Milky Way : Star : Feature : Chromosphere : Flare","Solar flares"
"Milky Way : Star : Feature : Chromosphere : Facula","Solar faculae"
"Milky Way : Star : Feature : Corona","Solar corona"
"Milky Way : Star : Feature : Corona : Prominence","Prominence"
"Milky Way : Star : Grouping : Binary","Binary stars"
"Milky Way : Star : Grouping : Triple","Triple star systems"
"Milky Way : Star : Grouping : Multiple","Multiple star systems"
"Milky Way : Star : Grouping : Cluster","Star clusters"
"Milky Way : Star : Grouping : Cluster : Open","Open clusters"
"Milky Way : Star : Grouping : Cluster : Globular","Globular clusters"
"Milky Way : Star : Circumstellar Material","Circumstellar envelope"
"Milky Way : Star : Circumstellar Material : Planetary System","Planetary systems"
"Milky Way : Star : Circumstellar Material : Disk","Circumstellar discs"
"Milky Way : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Milky Way : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Milky Way : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Milky Way : Star : Circumstellar Material : Outflow","Stellar outflow"
"Milky Way : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Milky Way : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Milky Way : Nebula","Nebulae"
"Milky Way : Nebula : Type : Interstellar Medium","Interstellar medium"
"Milky Way : Nebula : Type : Star Formation","Star formation"
"Milky Way : Nebula : Type : Planetary","Planetary nebulae"
"Milky Way : Nebula : Type : Supernova Remnant","Supernova remnants"
"Milky Way : Nebula : Type : Jet","Astrophysical jets"
"Milky Way : Nebula : Appearance : Emission","Emission nebulae"
"Milky Way : Nebula : Appearance : Emission : H II Region","H II regions"
"Milky Way : Nebula : Appearance : Reflection","Reflection nebulae"
"Milky Way : Nebula : Appearance : Reflection : Light Echo","Light echo"
"Milky Way : Nebula : Appearance : Dark","Dark nebulae"
"Milky Way : Nebula : Appearance : Dark : Molecular Cloud","Molecular clouds"
"Milky Way : Nebula : Appearance : Dark : Bok Globule","Bok globules"
"Milky Way : Nebula : Appearance : Dark : Proplyd","Proplyds"
"Milky Way : Galaxy","Galaxies"
"Milky Way : Galaxy : Type : Spiral","Spiral galaxies"
"Milky Way : Galaxy : Type : Barred","Barred spiral galaxies"
"Milky Way : Galaxy : Type : Lenticular","Lenticular galaxies"
"Milky Way : Galaxy : Type : Elliptical","Elliptical galaxies"
"Milky Way : Galaxy : Type : Ring","Ring galaxies"
"Milky Way : Galaxy : Type : Irregular","Irregular galaxies"
"Milky Way : Galaxy : Type : Interacting","Interacting galaxies"
"Milky Way : Galaxy : Type : Gravitationally Lensed","Gravitational lensing"
"Milky Way : Galaxy : Size : Giant","Galaxies"
"Milky Way : Galaxy : Size : Dwarf","Dwarf galaxies"
"Milky Way : Galaxy : Activity : Normal","Galaxies"
"Milky Way : Galaxy : Activity : AGN","Active galactic nuclei"
"Milky Way : Galaxy : Activity : AGN : Quasar","Quasars"
"Milky Way : Galaxy : Activity : AGN : Seyfert","Seyfert galaxies"
"Milky Way : Galaxy : Activity : AGN : Blazar","Blazars"
"Milky Way : Galaxy : Activity : AGN : Liner","LINERs"
"Milky Way : Galaxy : Activity : Starburst","Starburst galaxies"
"Milky Way : Galaxy : Activity : Ultraluminous","Ultraluminous X-ray source"
"Milky Way : Galaxy : Component : Bulge","Bulges"
"Milky Way : Galaxy : Component : Bar","Barred spiral galaxies"
"Milky Way : Galaxy : Component : Disk","Spiral galaxies"
"Milky Way : Galaxy : Component : Halo","Galactic halos"
"Milky Way : Galaxy : Component : Ring","Ring galaxies"
"Milky Way : Galaxy : Component : Central Black Hole","Black holes"
"Milky Way : Galaxy : Component : Spiral Arm","Spiral galaxies"
"Milky Way : Galaxy : Component : Dust Lane","Dust lanes"
"Milky Way : Galaxy : Component : Center/Core","Galactic Center"
"Milky Way : Galaxy : Grouping : Pair","Galaxy groups"
"Milky Way : Galaxy : Grouping : Multiple","Galaxy groups"
"Milky Way : Galaxy : Grouping : Cluster","Galaxy clusters"
"Milky Way : Galaxy : Grouping : Supercluster","Superclusters of galaxies"
"Milky Way : Cosmology","Cosmology"
"Milky Way : Cosmology : Morphology : Deep Field","Deep fields"
"Milky Way : Cosmology : Morphology : Large-Scale Structure","Large-scale structure of the cosmos"
"Milky Way : Cosmology : Morphology : Cosmic Background","Cosmic microwave background"
"Milky Way : Cosmology : Phenomenon : Lensing","Gravitational lensing"
"Milky Way : Cosmology : Phenomenon : Gamma Ray Burst","Gamma ray bursts"
"Milky Way : Cosmology : Phenomenon : Dark Matter","Dark matter"
"Milky Way : Sky Phenomenon","Sky"
"Milky Way : Sky Phenomenon : Night Sky","Night sky"
"Milky Way : Sky Phenomenon : Night Sky : Constellation","Constellations"
"Milky Way : Sky Phenomenon : Night Sky : Asterism","Asterisms (astronomy)"
"Milky Way : Sky Phenomenon : Night Sky : Milky Way","Milky Way Galaxy"
"Milky Way : Sky Phenomenon : Night Sky : Trail","Light trails"
"Milky Way : Sky Phenomenon : Night Sky : Trail : Meteor","Meteor trails"
"Milky Way : Sky Phenomenon : Night Sky : Trail : Star","Star trails"
"Milky Way : Sky Phenomenon : Night Sky : Trail : Satellite","Satellite trails"
"Milky Way : Sky Phenomenon : Night Sky : Zodiacal Light","Zodiacal light"
"Milky Way : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein","Gegenschein"
"Milky Way : Sky Phenomenon : Night Sky : Night glow","Skyglow"
"Milky Way : Sky Phenomenon : Eclipse","Eclipse"
"Milky Way : Sky Phenomenon : Eclipse : Solar","Solar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Solar : Total","Solar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Solar : Partial","Solar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Solar : Annular","Solar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Lunar","Lunar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Total","Lunar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Partial","Lunar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Penumbral","Lunar eclipses"
"Milky Way : Sky Phenomenon : Eclipse : Occultation","Occultation"
"Milky Way : Sky Phenomenon : Eclipse : Transit","Astronomical transits"
"Milky Way : Sky Phenomenon : Light Phenomenon","Atmospheric optical phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset","Sunsets and sunrises"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash","Green flash phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion","Atmospheric seeing"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar","Sun pillars"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud","Clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent","Iridescent clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent","Noctilucent clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous","Polar stratospheric clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Corona","Corona"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Glory","Glories"
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow","Rainbows"
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow","Moonbows"
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow","Fogbow"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo","Halo phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Circle","Halo phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Parhelia","Parhelia"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Arc","Halo phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
