"NASA instrument","Commons categories","Wikidata"
"Lunar Radiometer","",""
"Lunar Reconnaissance Orbiter Camera (NAC)","",""
"Lunar Reconnaissance Orbiter Camera (WAC)","",""
"Lunar Thermal Mapper (LTM)","",""
"M-Cube/COVE","",""
"Magnetometer","",""
"Magnetometer (MAG)","",""
"Magnetospheric Imaging Instrument (MIMI)","",""
"Mapping Imaging Spectrometer for Europa (MISE)","","Q48838225"
"Mars Advanced Radar for Subsurface and Ionosphere Sounding (MARSIS)","MARSIS","Q1110462"
"Mars Advanced Radar for Subsurface and Ionospheric Sounding (MARSIS)","MARSIS","Q1110462"
"Mars Advanced Radar for Subsurface and Ionospheric Sounding (MARSIS)","MARSIS","Q1110462"
"Mars Climate Sounder (MCS)","Mars Climate Sounder (MCS)","Q4026848"
"Mars Color Imager (MARCI)","Mars Color Imager (MARCI)","Q1160916"
"Mars Descent Imager","Mars Descent Imager (MARDI)","Q65163564"
"Mars Environmental Dynamics Analyzer (MEDA)","Mars Environmental Dynamics Analyzer (MEDA)","Q48843887"
"Mars Hand Lens Imager (MAHLI)","Mars Hand Lens Imager (MAHLI)","Q6773127"
"Mars Horizon Sensor Assembly","",""
"Mars Orbiter Camera (MOC)","Mars Orbiter Camera (MOC)","Q6773158"
"Mars Orbiter Laser Altimeter","Mars Orbiter Laser Altimeter (MOLA)","Q6773157"
"Mars Oxygen In-Situ Resource Utilization Experiment (MOXIE)","Mars Oxygen ISRU Experiment (MOXIE)","Q18645653"
"Mars Radiation Experiment","",""
"Mars Volcanic Emission Life Scout (MARVEL)","",""
"MASCS","",""
"Mastcam","",""
"Mastcam-Z","Mastcam-Z","Q23580626"
"Medium Resolution Instrument (MRI)","",""
"Mercury Atmospheric and Surface Composition Spectrometer (MASCS)","",""
"Mercury Dual Imaging System","",""
"Mercury Dual Imaging System - Narrow Angle","",""
"Mercury Dual Imaging System - Wide Angle","",""
"Mercury Dual Imaging System (MDIS)","",""
"Mercury Laser Altimeter (MLA)","",""
"MESSENGER Magnetometer (MAG)","",""
"Microscopic Imager","",""
"Microscopy Electrochemistry and Conductivity Analyzer (MECA)","",""
"Microwave Limb Sounder","","Q3857039"
"Microwave Radiometer","",""
"Microwave Radiometer (MWR)","","Q27940515"
"Microwave Ranging Instrument","",""
"Mid-infrared Camera/Spectrometer (VISIR)","",""
"Mid-Infrared Instrument (MIRI)","Mid-Infrared Instrument (MIRI)","Q1881516"
"Miniature Integrated Camera Spectrometer","",""
"Miniature Thermal Emission Spectrometer","",""
"MIRO","",""
"MISR","",""
"Moderate Resolution Imaging Spectroradiometer (MODIS)","Moderate-Resolution Imaging Spectroradiometer (MODIS)","Q676840"
"Moderate Resolution Imaging Spectroradiometer (MODIS) Terra","Photos by the Terra (satellite) MODIS",""
"MODIS","Moderate-Resolution Imaging Spectroradiometer (MODIS)","Q676840"
"Moessbauer Spectrometer","",""
"Moon Mineralogy Mapper","Moon Mineralogy Mapper","Q3323558"
"MoonKAM","",""
"Multi-angle Imaging SpectroRadiometer (MISR)","Multi-angle Imaging SpectroRadiometer (MISR)","Q3867036"
"Multi-Spectral Imager","",""
"Multiangle SpectroPolarimetric Imager (AirMSPI)","",""
"Multiband Imaging Photometer (MIPS)","",""
"Multispectral Visible Imaging Camera (MVIC)","",""
"Navigation Camera","Navigational cameras (NavCams) on spacecraft","Q6982202"
"Navigation Camera (M2020)","Photos by the Perseverance rover Navcams","Q6982202"
"Navigation Camera (MSL)","Photos by the Curiosity rover Navcam","Q6982202"
"Near Infra-Red Mapping Spectrometer","",""
"Near Infrared Camera","Near-Infrared Camera (NIRCam)","Q29598269"
"Near Infrared Mapping Spectrometer","",""
"Near Infrared Spectrometer","",""
"Near-InfraRed Imager (NIRI)","",""
"NEOCam Sensor","",""
"NEOWISE Telescope","",""
"Neutral Gas and Ion Mass Spectrometer","",""
"Neutron Spectrometer","",""
"Next Generation Space Telescope","James Webb Space Telescope","Q186447"
"NICMOS","Near Infrared Camera and Multi-Object Spectrometer","Q910414"
"Nuclear Spectroscopic Telescope Array","NuSTAR","Q163922"
"NuSTAR","NuSTAR","Q163922"
"OCO-2","",""
"OCO-3","",""
"Optical Microscope","",""
"Optical Navigation Camera","",""
"Optical PAyload for Lasercomm Science (OPALS)","",""
"OSCAT Scatterometer","",""
"Oschin Schmidt Telescope","",""
"OSIRIS","",""
"Owens Valley Millimeter Array","",""
"Ozone Monitoring Instrument","",""
"Palomar Testbed Interferometer","",""
