"ESO category","Commons Category"
"Solar System : Star : Type : Carbon","C stars"
"Solar System : Star : Type : Brown Dwarf","Brown dwarfs"
"Solar System : Star : Type : Wolf-Rayet","Wolf-Rayet stars"
"Solar System : Star : Type : Blue Straggler","Blue stragglers"
"Solar System : Star : Type : Exotic","Exotic stars"
"Solar System : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Solar System : Star : Spectral Type : O","O stars"
"Solar System : Star : Spectral Type : B","B stars"
"Solar System : Star : Spectral Type : A","A stars"
"Solar System : Star : Spectral Type : F","F stars"
"Solar System : Star : Spectral Type : G","G stars"
"Solar System : Star : Spectral Type : K","K stars"
"Solar System : Star : Spectral Type : M","M stars"
"Solar System : Star : Spectral Type : L","L stars"
"Solar System : Star : Spectral Type : T","T stars"
"Solar System : Star : Population : I","Stellar populations"
"Solar System : Star : Population : II","Stellar populations"
"Solar System : Star : Population : III","Stellar populations"
"Solar System : Star : Feature : Photosphere","Photosphere"
"Solar System : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Solar System : Star : Feature : Photosphere : Sunspot","Sunspots"
"Solar System : Star : Feature : Chromosphere","Chromosphere"
"Solar System : Star : Feature : Chromosphere : Flare","Solar flares"
"Solar System : Star : Feature : Chromosphere : Facula","Solar faculae"
"Solar System : Star : Feature : Corona","Solar corona"
"Solar System : Star : Feature : Corona : Prominence","Prominence"
"Solar System : Star : Grouping : Binary","Binary stars"
"Solar System : Star : Grouping : Triple","Triple star systems"
"Solar System : Star : Grouping : Multiple","Multiple star systems"
"Solar System : Star : Grouping : Cluster","Star clusters"
"Solar System : Star : Grouping : Cluster : Open","Open clusters"
"Solar System : Star : Grouping : Cluster : Globular","Globular clusters"
"Solar System : Star : Circumstellar Material","Circumstellar enveloppe"
"Solar System : Star : Circumstellar Material : Planetary System","Planetary systems"
"Solar System : Star : Circumstellar Material : Disk","Circumstellar discs"
"Solar System : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Solar System : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Solar System : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Solar System : Star : Circumstellar Material : Outflow",
"Solar System : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Solar System : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Solar System : Nebula","Nebulae"
"Solar System : Nebula : Type : Interstellar Medium","Interstellar medium"
"Solar System : Nebula : Type : Star Formation","Star formation"
"Solar System : Nebula : Type : Planetary",
"Solar System : Nebula : Type : Supernova Remnant","Supernova remnants"
"Solar System : Nebula : Type : Jet",
"Solar System : Nebula : Appearance : Emission","Emission nebulae"
"Solar System : Nebula : Appearance : Emission : H II Region","H II regions"
"Solar System : Nebula : Appearance : Reflection","Reflection nebulae"
"Solar System : Nebula : Appearance : Reflection : Light Echo",
"Solar System : Nebula : Appearance : Dark","Dark nebulae"
"Solar System : Nebula : Appearance : Dark : Molecular Cloud","Molecular clouds"
"Solar System : Nebula : Appearance : Dark : Bok Globule","Bok globules"
"Solar System : Nebula : Appearance : Dark : Proplyd",
"Solar System : Galaxy","Galaxies"
"Solar System : Galaxy : Type : Spiral","Spiral galaxies"
"Solar System : Galaxy : Type : Barred","Barred spiral galaxies"
"Solar System : Galaxy : Type : Lenticular","Lenticular galaxies"
"Solar System : Galaxy : Type : Elliptical","Elliptical galaxies"
"Solar System : Galaxy : Type : Ring","Ring galaxies"
"Solar System : Galaxy : Type : Irregular","Irregular galaxies"
"Solar System : Galaxy : Type : Interacting","Interacting galaxies"
"Solar System : Galaxy : Type : Gravitationally Lensed","Gravitational lensing"
"Solar System : Galaxy : Size : Giant",
"Solar System : Galaxy : Size : Dwarf","Dwarf galaxies"
"Solar System : Galaxy : Activity : Normal",
"Solar System : Galaxy : Activity : AGN","Active galactic nuclei"
"Solar System : Galaxy : Activity : AGN : Quasar","Quasars"
"Solar System : Galaxy : Activity : AGN : Seyfert","Seyfert galaxies"
"Solar System : Galaxy : Activity : AGN : Blazar","Blazars"
"Solar System : Galaxy : Activity : AGN : Liner",
"Solar System : Galaxy : Activity : Starburst","Starburst galaxies"
"Solar System : Galaxy : Activity : Ultraluminous","Ultraluminous X-ray source"
"Solar System : Galaxy : Component : Bulge",
"Solar System : Galaxy : Component : Bar",
"Solar System : Galaxy : Component : Disk",
"Solar System : Galaxy : Component : Halo",
"Solar System : Galaxy : Component : Ring",
"Solar System : Galaxy : Component : Central Black Hole","Black holes"
"Solar System : Galaxy : Component : Spiral Arm",
"Solar System : Galaxy : Component : Dust Lane",
"Solar System : Galaxy : Component : Center/Core",
"Solar System : Galaxy : Grouping : Pair",
"Solar System : Galaxy : Grouping : Multiple",
"Solar System : Galaxy : Grouping : Cluster","Galaxy clusters"
"Solar System : Galaxy : Grouping : Supercluster",
"Solar System : Cosmology","Cosmology"
"Solar System : Cosmology : Morphology : Deep Field","Deep fields"
"Solar System : Cosmology : Morphology : Large-Scale Structure","Large-scale structure of the cosmos"
"Solar System : Cosmology : Morphology : Cosmic Background","Cosmic microwave background"
"Solar System : Cosmology : Phenomenon : Lensing",
"Solar System : Cosmology : Phenomenon : Gamma Ray Burst","Gamma ray bursts"
"Solar System : Cosmology : Phenomenon : Dark Matter","Dark matter"
"Solar System : Sky Phenomenon",
"Solar System : Sky Phenomenon : Night Sky","Night sky"
"Solar System : Sky Phenomenon : Night Sky : Constellation","Constellations"
"Solar System : Sky Phenomenon : Night Sky : Asterism","Asterisms (astronomy)"
"Solar System : Sky Phenomenon : Night Sky : Milky Way","Milky Way Galaxy"
"Solar System : Sky Phenomenon : Night Sky : Trail",
"Solar System : Sky Phenomenon : Night Sky : Trail : Meteor","Meteors"
"Solar System : Sky Phenomenon : Night Sky : Trail : Star","Stars"
"Solar System : Sky Phenomenon : Night Sky : Trail : Satellite","Satellites"
"Solar System : Sky Phenomenon : Night Sky : Zodiacal Light","Zodiacal light"
"Solar System : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein",
"Solar System : Sky Phenomenon : Night Sky : Night glow","Skyglow"
"Solar System : Sky Phenomenon : Eclipse","Eclipse"
"Solar System : Sky Phenomenon : Eclipse : Solar","Solar eclipse"
"Solar System : Sky Phenomenon : Eclipse : Solar : Total",
"Solar System : Sky Phenomenon : Eclipse : Solar : Partial",
"Solar System : Sky Phenomenon : Eclipse : Solar : Annular",
"Solar System : Sky Phenomenon : Eclipse : Lunar","Lunar eclipse"
"Solar System : Sky Phenomenon : Eclipse : Lunar : Total",
"Solar System : Sky Phenomenon : Eclipse : Lunar : Partial",
"Solar System : Sky Phenomenon : Eclipse : Lunar : Penumbral",
"Solar System : Sky Phenomenon : Eclipse : Occultation","Occultation"
"Solar System : Sky Phenomenon : Eclipse : Transit","Astronomical transits"
"Solar System : Sky Phenomenon : Light Phenomenon","Atmospheric optical phenomena"
"Solar System : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset","Sunsets and sunrises"
"Solar System : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash","Green flash phenomena"
"Solar System : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion",
"Solar System : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar","Sun pillars"
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud","Clouds"
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent","Iridescent clouds"
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent","Noctilucent clouds"
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous",
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud : Corona",
"Solar System : Sky Phenomenon : Light Phenomenon : Cloud : Glory",
"Solar System : Sky Phenomenon : Light Phenomenon : Rainbow","Rainbows"
"Solar System : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow","Moonbows"
"Solar System : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow","Fogbow"
"Solar System : Sky Phenomenon : Light Phenomenon : Halo","Halo phenomena"
"Solar System : Sky Phenomenon : Light Phenomenon : Halo : Circle",
"Solar System : Sky Phenomenon : Light Phenomenon : Halo : Parhelia","Parhelia"
"Solar System : Sky Phenomenon : Light Phenomenon : Halo : Arc",
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray","Anticrepuscular rays"
"Solar System : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow",
"Solar System : Sky Phenomenon : Light Phenomenon : Lightning","Lightning"
"Solar System : Sky Phenomenon : Light Phenomenon : Aurora","Polar aurora"
"Solar System : Technology",
"Solar System : Technology : Observatory","Observatories"
"Solar System : Technology : Observatory : Facility","Astronomical observatories"
"Solar System : Technology : Observatory : Telescope","Telescopes"
"Solar System : Technology : Observatory : Instrument","Astronomical instruments"
"Solar System : Technology : Observatory : Detector",
"Solar System : Technology : Spacecraft","Spacecraft"
"Solar System : Technology : Spacecraft : Orbiter","Orbiters (spacecraft)"
"Solar System : Technology : Spacecraft : Probe","Space probes"
"Solar System : Technology : Spacecraft : Lander","Landers (spacecraft)"
"Solar System : Technology : Spacecraft : Manned","Manned spacecraft"
"Solar System : Technology : Spacecraft : Launch Vehicle","Space launch vehicles"
"Solar System : People",
"Solar System : People : Scientist","Scientists"
"Solar System : People : Astronaut","Astronauts"
"Solar System : People : Other/General",
"Milky Way","Milky Way Galaxy"
"Milky Way : Planet","Planets"
"Milky Way : Planet : Type : Terrestrial","Terrestrial Planet"
"Milky Way : Planet : Type : Gas Giant","Gas giants"
"Milky Way : Planet : Feature : Surface",
"Milky Way : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Milky Way : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Milky Way : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Milky Way : Planet : Feature : Surface : Impact","Impact craters"
"Milky Way : Planet : Feature : Surface : Erosion","Erosion"
"Milky Way : Planet : Feature : Surface : Liquid","Liquid"
"Milky Way : Planet : Feature : Surface : Ice","Ice"
"Milky Way : Planet : Feature : Atmosphere","Planetary atmospheres"
"Milky Way : Planet : Feature : Atmosphere : Cloud","Clouds"
"Milky Way : Planet : Feature : Atmosphere : Storm","Storms"
"Milky Way : Planet : Feature : Atmosphere : Aurora","Polar aurora"
"Milky Way : Planet : Special Cases : Transiting","Astronomical transits"
"Milky Way : Planet : Special Cases : Hot Jupiter","Hot Jupiters"
"Milky Way : Planet : Special Cases : Pulsar planet","Pulsar planets"
"Milky Way : Planet : Satellite","Natural satellites"
"Milky Way : Planet : Satellite : Feature : Surface","Surface features of moons"
"Milky Way : Planet : Satellite : Feature : Surface : Mountain","Extraterrestrial mountains"
"Milky Way : Planet : Satellite : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Milky Way : Planet : Satellite : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Milky Way : Planet : Satellite : Feature : Surface : Impact","Impact craters on moons"
"Milky Way : Planet : Satellite : Feature : Surface : Erosion","Erosion"
"Milky Way : Planet : Satellite : Feature : Surface : Liquid","Liquid"
"Milky Way : Planet : Satellite : Feature : Surface : Ice","Ice"
"Milky Way : Planet : Satellite : Feature : Atmosphere","Planetary atmospheres"
"Milky Way : Planet : Ring","Planetary rings"
"Milky Way : Interplanetary Body",
"Milky Way : Interplanetary Body : Dwarf planet",
"Milky Way : Interplanetary Body : Comet","Comets"
"Milky Way : Interplanetary Body : Comet : Nucleus","Cometary nuclei"
"Milky Way : Interplanetary Body : Comet : Coma","Coma (cometary)"
"Milky Way : Interplanetary Body : Comet : Tail","Comet tail"
"Milky Way : Interplanetary Body : Comet : Tail : Dust","Comet tail"
"Milky Way : Interplanetary Body : Comet : Tail : Gas","Comet tail"
"Milky Way : Interplanetary Body : Asteroid","Asteroids"
"Milky Way : Interplanetary Body : Meteoroid","Meteoroids"
"Milky Way : Star","Stars"
"Milky Way : Star : Evolutionary Stage : Protostar","Protostars"
"Milky Way : Star : Evolutionary Stage : Young Stellar Object","Young stellar objects"
"Milky Way : Star : Evolutionary Stage : Main Sequence","Main sequence stars"
"Milky Way : Star : Evolutionary Stage : Red Giant","Red giants"
"Milky Way : Star : Evolutionary Stage : Red Supergiant","Red supergiants"
"Milky Way : Star : Evolutionary Stage : Blue Supergiant","Blue supergiants"
"Milky Way : Star : Evolutionary Stage : White Dwarf","White dwarfs"
"Milky Way : Star : Evolutionary Stage : Supernova","Supernovae"
"Milky Way : Star : Evolutionary Stage : Neutron Star","Neutron stars"
"Milky Way : Star : Evolutionary Stage : Neutron Star : Pulsar","Pulsars"
"Milky Way : Star : Evolutionary Stage : Neutron Star : Magnetar","Magnetars"
"Milky Way : Star : Evolutionary Stage : Black Hole","Black holes"
"Milky Way : Star : Type : Variable","Variable stars"
"Milky Way : Star : Type : Variable : Pulsating","Pulsating variable stars"
"Milky Way : Star : Type : Variable : Irregular","Variable stars"
"Milky Way : Star : Type : Variable : Eclipsing","Eclipsing binary stars"
"Milky Way : Star : Type : Variable : Flare Star","Flare stars"
"Milky Way : Star : Type : Variable : Nova","Novae"
"Milky Way : Star : Type : Variable : X-Ray Binary (Star)","Variable stars"
"Milky Way : Star : Type : Carbon","C stars"
"Milky Way : Star : Type : Brown Dwarf","Brown dwarfs"
"Milky Way : Star : Type : Wolf-Rayet","Wolf-Rayet stars"
"Milky Way : Star : Type : Blue Straggler","Blue stragglers"
"Milky Way : Star : Type : Exotic","Exotic stars"
"Milky Way : Star : Type : Exotic : X-Ray Binary","Exotic stars"
"Milky Way : Star : Spectral Type : O","O stars"
"Milky Way : Star : Spectral Type : B","B stars"
"Milky Way : Star : Spectral Type : A","A stars"
"Milky Way : Star : Spectral Type : F","F stars"
"Milky Way : Star : Spectral Type : G","G stars"
"Milky Way : Star : Spectral Type : K","K stars"
"Milky Way : Star : Spectral Type : M","M stars"
"Milky Way : Star : Spectral Type : L","L stars"
"Milky Way : Star : Spectral Type : T","T stars"
"Milky Way : Star : Population : I","Stellar populations"
"Milky Way : Star : Population : II","Stellar populations"
"Milky Way : Star : Population : III","Stellar populations"
"Milky Way : Star : Feature : Photosphere","Photosphere"
"Milky Way : Star : Feature : Photosphere : Granulation","Granules (solar physics)"
"Milky Way : Star : Feature : Photosphere : Sunspot","Sunspots"
"Milky Way : Star : Feature : Chromosphere","Chromosphere"
"Milky Way : Star : Feature : Chromosphere : Flare","Solar flares"
"Milky Way : Star : Feature : Chromosphere : Facula","Solar faculae"
"Milky Way : Star : Feature : Corona","Solar corona"
"Milky Way : Star : Feature : Corona : Prominence","Prominence"
"Milky Way : Star : Grouping : Binary","Binary stars"
"Milky Way : Star : Grouping : Triple","Triple star systems"
"Milky Way : Star : Grouping : Multiple","Multiple star systems"
"Milky Way : Star : Grouping : Cluster","Star clusters"
"Milky Way : Star : Grouping : Cluster : Open","Open clusters"
"Milky Way : Star : Grouping : Cluster : Globular","Globular clusters"
"Milky Way : Star : Circumstellar Material","Circumstellar enveloppe"
"Milky Way : Star : Circumstellar Material : Planetary System","Planetary systems"
"Milky Way : Star : Circumstellar Material : Disk","Circumstellar discs"
"Milky Way : Star : Circumstellar Material : Disk : Protoplanetary","Protoplanetary disks"
"Milky Way : Star : Circumstellar Material : Disk : Accretion","Accretion disks"
"Milky Way : Star : Circumstellar Material : Disk : Debris","Debris disks"
"Milky Way : Star : Circumstellar Material : Outflow",
"Milky Way : Star : Circumstellar Material : Outflow : Solar Wind","Stellar wind"
"Milky Way : Star : Circumstellar Material : Outflow : Coronal Mass Ejection","Coronal mass ejection"
"Milky Way : Nebula","Nebulae"
"Milky Way : Nebula : Type : Interstellar Medium","Interstellar medium"
"Milky Way : Nebula : Type : Star Formation","Star formation"
"Milky Way : Nebula : Type : Planetary",
"Milky Way : Nebula : Type : Supernova Remnant","Supernova remnants"
"Milky Way : Nebula : Type : Jet",
"Milky Way : Nebula : Appearance : Emission","Emission nebulae"
"Milky Way : Nebula : Appearance : Emission : H II Region","H II regions"
"Milky Way : Nebula : Appearance : Reflection","Reflection nebulae"
"Milky Way : Nebula : Appearance : Reflection : Light Echo",
"Milky Way : Nebula : Appearance : Dark","Dark nebulae"
"Milky Way : Nebula : Appearance : Dark : Molecular Cloud","Molecular clouds"
"Milky Way : Nebula : Appearance : Dark : Bok Globule","Bok globules"
"Milky Way : Nebula : Appearance : Dark : Proplyd",
"Milky Way : Galaxy","Galaxies"
"Milky Way : Galaxy : Type : Spiral","Spiral galaxies"
"Milky Way : Galaxy : Type : Barred","Barred spiral galaxies"
"Milky Way : Galaxy : Type : Lenticular","Lenticular galaxies"
"Milky Way : Galaxy : Type : Elliptical","Elliptical galaxies"
"Milky Way : Galaxy : Type : Ring","Ring galaxies"
"Milky Way : Galaxy : Type : Irregular","Irregular galaxies"
"Milky Way : Galaxy : Type : Interacting","Interacting galaxies"
"Milky Way : Galaxy : Type : Gravitationally Lensed","Gravitational lensing"
"Milky Way : Galaxy : Size : Giant",
"Milky Way : Galaxy : Size : Dwarf","Dwarf galaxies"
"Milky Way : Galaxy : Activity : Normal",
"Milky Way : Galaxy : Activity : AGN","Active galactic nuclei"
"Milky Way : Galaxy : Activity : AGN : Quasar","Quasars"
"Milky Way : Galaxy : Activity : AGN : Seyfert","Seyfert galaxies"
"Milky Way : Galaxy : Activity : AGN : Blazar","Blazars"
"Milky Way : Galaxy : Activity : AGN : Liner",
"Milky Way : Galaxy : Activity : Starburst","Starburst galaxies"
"Milky Way : Galaxy : Activity : Ultraluminous","Ultraluminous X-ray source"
"Milky Way : Galaxy : Component : Bulge",
"Milky Way : Galaxy : Component : Bar",
"Milky Way : Galaxy : Component : Disk",
"Milky Way : Galaxy : Component : Halo",
"Milky Way : Galaxy : Component : Ring",
"Milky Way : Galaxy : Component : Central Black Hole","Black holes"
"Milky Way : Galaxy : Component : Spiral Arm",
"Milky Way : Galaxy : Component : Dust Lane",
"Milky Way : Galaxy : Component : Center/Core",
"Milky Way : Galaxy : Grouping : Pair",
"Milky Way : Galaxy : Grouping : Multiple",
"Milky Way : Galaxy : Grouping : Cluster","Galaxy clusters"
"Milky Way : Galaxy : Grouping : Supercluster",
"Milky Way : Cosmology","Cosmology"
"Milky Way : Cosmology : Morphology : Deep Field","Deep fields"
"Milky Way : Cosmology : Morphology : Large-Scale Structure","Large-scale structure of the cosmos"
"Milky Way : Cosmology : Morphology : Cosmic Background","Cosmic microwave background"
"Milky Way : Cosmology : Phenomenon : Lensing",
"Milky Way : Cosmology : Phenomenon : Gamma Ray Burst","Gamma ray bursts"
"Milky Way : Cosmology : Phenomenon : Dark Matter","Dark matter"
"Milky Way : Sky Phenomenon",
"Milky Way : Sky Phenomenon : Night Sky","Night sky"
"Milky Way : Sky Phenomenon : Night Sky : Constellation","Constellations"
"Milky Way : Sky Phenomenon : Night Sky : Asterism","Asterisms (astronomy)"
"Milky Way : Sky Phenomenon : Night Sky : Milky Way","Milky Way Galaxy"
"Milky Way : Sky Phenomenon : Night Sky : Trail",
"Milky Way : Sky Phenomenon : Night Sky : Trail : Meteor","Meteors"
"Milky Way : Sky Phenomenon : Night Sky : Trail : Star","Stars"
"Milky Way : Sky Phenomenon : Night Sky : Trail : Satellite","Satellites"
"Milky Way : Sky Phenomenon : Night Sky : Zodiacal Light","Zodiacal light"
"Milky Way : Sky Phenomenon : Night Sky : Zodiacal Light : Gegenschein",
"Milky Way : Sky Phenomenon : Night Sky : Night glow","Skyglow"
"Milky Way : Sky Phenomenon : Eclipse","Eclipse"
"Milky Way : Sky Phenomenon : Eclipse : Solar","Solar eclipse"
"Milky Way : Sky Phenomenon : Eclipse : Solar : Total",
"Milky Way : Sky Phenomenon : Eclipse : Solar : Partial",
"Milky Way : Sky Phenomenon : Eclipse : Solar : Annular",
"Milky Way : Sky Phenomenon : Eclipse : Lunar","Lunar eclipse"
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Total",
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Partial",
"Milky Way : Sky Phenomenon : Eclipse : Lunar : Penumbral",
"Milky Way : Sky Phenomenon : Eclipse : Occultation","Occultation"
"Milky Way : Sky Phenomenon : Eclipse : Transit","Astronomical transits"
"Milky Way : Sky Phenomenon : Light Phenomenon","Atmospheric optical phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset","Sunsets and sunrises"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Green flash","Green flash phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Refractive Distortion",
"Milky Way : Sky Phenomenon : Light Phenomenon : Sunrise-Sunset : Sun Pillar","Sun pillars"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud","Clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Iridescent","Iridescent clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Noctilucent","Noctilucent clouds"
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Nacreous",
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Corona",
"Milky Way : Sky Phenomenon : Light Phenomenon : Cloud : Glory",
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow","Rainbows"
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow : Moonbow","Moonbows"
"Milky Way : Sky Phenomenon : Light Phenomenon : Rainbow : Fogbow","Fogbow"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo","Halo phenomena"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Circle",
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Parhelia","Parhelia"
"Milky Way : Sky Phenomenon : Light Phenomenon : Halo : Arc",
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow","Shadows (atmospheric optics)"
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Crepuscular ray","Crepuscular rays"
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Anti-crepuscular ray","Anticrepuscular rays"
"Milky Way : Sky Phenomenon : Light Phenomenon : Ray-Shadow : Earth shadow",
"Milky Way : Sky Phenomenon : Light Phenomenon : Lightning","Lightning"
"Milky Way : Sky Phenomenon : Light Phenomenon : Aurora","Polar aurora"
"Milky Way : Technology",
"Milky Way : Technology : Observatory","Observatories"
"Milky Way : Technology : Observatory : Facility","Astronomical observatories"
"Milky Way : Technology : Observatory : Telescope","Telescopes"
"Milky Way : Technology : Observatory : Instrument","Astronomical instruments"
"Milky Way : Technology : Observatory : Detector",
"Milky Way : Technology : Spacecraft","Spacecraft"
"Milky Way : Technology : Spacecraft : Orbiter","Orbiters (spacecraft)"
"Milky Way : Technology : Spacecraft : Probe","Space probes"
"Milky Way : Technology : Spacecraft : Lander","Landers (spacecraft)"
"Milky Way : Technology : Spacecraft : Manned","Manned spacecraft"
"Milky Way : Technology : Spacecraft : Launch Vehicle","Space launch vehicles"
"Milky Way : People",
"Milky Way : People : Scientist","Scientists"
"Milky Way : People : Astronaut","Astronauts"
"Milky Way : People : Other/General",
"Local Universe",
"Local Universe : Planet","Planets"
"Local Universe : Planet : Type : Terrestrial","Terrestrial Planet"
"Local Universe : Planet : Type : Gas Giant","Gas giants"
"Local Universe : Planet : Feature : Surface",
"Local Universe : Planet : Feature : Surface : Mountain","Extraterrestrial mountains"
"Local Universe : Planet : Feature : Surface : Canyon","Extraterrestrial valleys and canyons"
"Local Universe : Planet : Feature : Surface : Volcanic","Extraterrestrial volcanoes"
"Local Universe : Planet : Feature : Surface : Impact","Impact craters"
"Local Universe : Planet : Feature : Surface : Erosion","Erosion"
"Local Universe : Planet : Feature : Surface : Liquid","Liquid"
